,Year,Category,Prize,Motivation,Prize Share,Laureate ID,Laureate Type,Full Name,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country,Moved
288,1953,Physics,The Nobel Prize in Physics 1953,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",1-Jan,60,Individual,Frits Zernike,1888-07-16,Amsterdam,Netherlands,Male,Groningen University,Groningen,Netherlands,3/10/1966,Groningen,Netherlands,no
289,1954,Chemistry,The Nobel Prize in Chemistry 1954,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",1-Jan,217,Individual,Linus Carl Pauling,2/28/1901,"Portland, OR",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,8/19/1994,"Big Sur, CA",United States of America,no
291,1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",3-Jan,356,Individual,John Franklin Enders,1897-02-10,"West Hartford, CT",United States of America,Male,Harvard Medical School,"Boston, MA",United States of America,9/8/1985,"Waterford, CT",United States of America,no
292,1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",3-Jan,356,Individual,John Franklin Enders,1897-02-10,"West Hartford, CT",United States of America,Male,"Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",United States of America,9/8/1985,"Waterford, CT",United States of America,no
293,1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",3-Jan,357,Individual,Thomas Huckle Weller,6/15/1915,"Ann Arbor, MI",United States of America,Male,"Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",United States of America,8/23/2008,"Needham, MA",United States of America,no
294,1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",3-Jan,358,Individual,Frederick Chapman Robbins,8/25/1916,"Auburn, AL",United States of America,Male,Western Reserve University,"Cleveland, OH",United States of America,8/4/2003,"Cleveland, OH",United States of America,no
296,1954,Physics,The Nobel Prize in Physics 1954,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",2-Jan,61,Individual,Max Born,1882-12-11,Breslau (Wroclaw),Germany (Poland),Male,Edinburgh University,Edinburgh,United Kingdom,1/5/1970,Göttingen,West Germany (Germany),yes
297,1954,Physics,The Nobel Prize in Physics 1954,"""for the coincidence method and his discoveries made therewith""",2-Jan,62,Individual,Walther Bothe,1891-01-08,Oranienburg,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,2/8/1957,Heidelberg,West Germany (Germany),yes
298,1954,Physics,The Nobel Prize in Physics 1954,"""for the coincidence method and his discoveries made therewith""",2-Jan,62,Individual,Walther Bothe,1891-01-08,Oranienburg,Germany,Male,Max-Planck-Institut für medizinische Forschung,Heidelberg,Federal Republic of Germany,2/8/1957,Heidelberg,West Germany (Germany),yes
299,1955,Chemistry,The Nobel Prize in Chemistry 1955,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""",1-Jan,218,Individual,Vincent du Vigneaud,5/18/1901,"Chicago, IL",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,12/11/1978,"White Plains, NY",United States of America,no
301,1955,Medicine,The Nobel Prize in Physiology or Medicine 1955,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""",1-Jan,359,Individual,Axel Hugo Theodor Theorell,7/6/1903,Linköping,Sweden,Male,"Karolinska Institutet, Nobel Medical Institute",Stockholm,Sweden,8/15/1982,Stockholm,Sweden,no
302,1955,Physics,The Nobel Prize in Physics 1955,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",2-Jan,63,Individual,Willis Eugene Lamb,7/12/1913,"Los Angeles, CA",United States of America,Male,Stanford University,"Stanford, CA",United States of America,5/15/2008,"Tucson, AZ",United States of America,no
303,1955,Physics,The Nobel Prize in Physics 1955,"""for his precision determination of the magnetic moment of the electron""",2-Jan,64,Individual,Polykarp Kusch,1/26/1911,Blankenburg,Germany,Male,Columbia University,"New York, NY",United States of America,3/20/1993,"Dallas, TX",United States of America,yes
304,1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",2-Jan,219,Individual,Sir Cyril Norman Hinshelwood,1897-05-19,London,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,10/9/1967,London,United Kingdom,no
305,1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",2-Jan,220,Individual,Nikolay Nikolaevich Semenov,1896-04-03,Saratov,Russia,Male,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,Union of Soviet Socialist Republics,9/25/1986,Moscow,Union of Soviet Socialist Republics,yes
307,1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",3-Jan,360,Individual,André Frédéric Cournand,1895-09-24,Paris,France,Male,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",United States of America,2/19/1988,"Great Barrington, MA",United States of America,yes
308,1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",3-Jan,361,Individual,Werner Forssmann,8/29/1904,Berlin,Germany,Male,Mainz University,Mainz,Federal Republic of Germany,6/1/1979,Schopfheim,West Germany (Germany),yes
309,1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",3-Jan,361,Individual,Werner Forssmann,8/29/1904,Berlin,Germany,Male,,Bad Kreuznach,Federal Republic of Germany,6/1/1979,Schopfheim,West Germany (Germany),yes
310,1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",3-Jan,362,Individual,Dickinson W. Richards,1895-10-30,"Orange, NJ",United States of America,Male,Columbia University,"New York, NY",United States of America,2/23/1973,"Lakeville, CT",United States of America,no
311,1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",3-Jan,65,Individual,William Bradford Shockley,2/13/1910,London,United Kingdom,Male,"Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",United States of America,8/12/1989,"Palo Alto, CA",United States of America,yes
312,1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",3-Jan,66,Individual,John Bardeen,5/23/1908,"Madison, WI",United States of America,Male,University of Illinois,"Urbana, IL",United States of America,1/30/1991,"Boston, MA",United States of America,no
313,1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",3-Jan,67,Individual,Walter Houser Brattain,2/10/1902,Amoy,China,Male,Bell Telephone Laboratories,"Murray Hill, NJ",United States of America,10/13/1987,"Seattle, WA",United States of America,yes
314,1957,Chemistry,The Nobel Prize in Chemistry 1957,"""for his work on nucleotides and nucleotide co-enzymes""",1-Jan,221,Individual,Lord (Alexander R.) Todd,10/2/1907,Glasgow,Scotland,Male,University of Cambridge,Cambridge,United Kingdom,1/10/1997,Cambridge,United Kingdom,yes
316,1957,Medicine,The Nobel Prize in Physiology or Medicine 1957,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles""",1-Jan,363,Individual,Daniel Bovet,3/23/1907,Neuchâtel,Switzerland,Male,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,4/8/1992,Rome,Italy,yes
318,1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",2-Jan,68,Individual,Chen Ning Yang,9/22/1922,"Hofei, Anhwei",China,Male,Institute for Advanced Study,"Princeton, NJ",United States of America,,,,yes
319,1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",2-Jan,69,Individual,Tsung-Dao (T.D.) Lee,11/24/1926,Shanghai,China,Male,Columbia University,"New York, NY",United States of America,,,,yes
320,1958,Chemistry,The Nobel Prize in Chemistry 1958,"""for his work on the structure of proteins, especially that of insulin""",1-Jan,222,Individual,Frederick Sanger,8/13/1918,Rendcombe,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,11/19/2013,Cambridge,United Kingdom,no
322,1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",4-Jan,364,Individual,George Wells Beadle,10/22/1903,"Wahoo, NE",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,6/9/1989,"Pomona, CA",United States of America,no
323,1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",4-Jan,365,Individual,Edward Lawrie Tatum,12/14/1909,"Boulder, CO",United States of America,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,11/5/1975,"New York, NY",United States of America,no
324,1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",2-Jan,366,Individual,Joshua Lederberg,5/23/1925,"Montclair, NJ",United States of America,Male,University of Wisconsin,"Madison, WI",United States of America,2/2/2008,"New York, NY",United States of America,no
326,1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",3-Jan,70,Individual,Pavel Alekseyevich Cherenkov,7/28/1904,Novaya Chigla,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,1/6/1990,,Union of Soviet Socialist Republics,yes
327,1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",3-Jan,71,Individual,Igor Yevgenyevich Tamm,1895-07-08,Vladivostok,Russia,Male,University of Moscow,Moscow,Union of Soviet Socialist Republics,4/12/1971,Moscow,Union of Soviet Socialist Republics (Russia),yes
328,1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",3-Jan,71,Individual,Igor Yevgenyevich Tamm,1895-07-08,Vladivostok,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,4/12/1971,Moscow,Union of Soviet Socialist Republics (Russia),yes
329,1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",3-Jan,721,Individual,Il´ja Mikhailovich Frank,10/23/1908,Leningrad (Saint Petersburg),Russia,Male,University of Moscow,Moscow,Union of Soviet Socialist Republics,6/22/1990,Moscow,Union of Soviet Socialist Republics (Russia),yes
330,1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",3-Jan,721,Individual,Il´ja Mikhailovich Frank,10/23/1908,Leningrad (Saint Petersburg),Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,6/22/1990,Moscow,Union of Soviet Socialist Republics (Russia),yes
331,1959,Chemistry,The Nobel Prize in Chemistry 1959,"""for his discovery and development of the polarographic methods of analysis""",1-Jan,223,Individual,Jaroslav Heyrovsky,1890-12-20,Prague,Austria-Hungary (Czech Republic),Male,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia,3/27/1967,Prague,Czechoslovakia,yes
333,1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",2-Jan,367,Individual,Severo Ochoa,9/24/1905,Luarca,Spain,Male,"New York University, College of Medicine","New York, NY",United States of America,11/1/1993,Madrid,Spain,yes
334,1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",2-Jan,368,Individual,Arthur Kornberg,3/3/1918,"Brooklyn, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,10/26/2007,"Stanford, CA",United States of America,no
336,1959,Physics,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",2-Jan,72,Individual,Emilio Gino Segrè,2/1/1905,Tivoli,Italy,Male,University of California,"Berkeley, CA",United States of America,4/22/1989,"Lafayette, CA",United States of America,yes
337,1959,Physics,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",2-Jan,73,Individual,Owen Chamberlain,7/10/1920,"San Francisco, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America,2/28/2006,"Berkeley, CA",United States of America,no
338,1960,Chemistry,The Nobel Prize in Chemistry 1960,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science""",1-Jan,224,Individual,Willard Frank Libby,12/17/1908,"Grand Valley, CO",United States of America,Male,University of California,"Los Angeles, CA",United States of America,9/8/1980,"Los Angeles, CA",United States of America,no
340,1960,Medicine,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance""",2-Jan,369,Individual,Sir Frank Macfarlane Burnet,1899-09-03,Traralgon,Australia,Male,Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia,8/31/1985,Melbourne,Australia,no
341,1960,Medicine,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance""",2-Jan,370,Individual,Peter Brian Medawar,2/28/1915,Rio de Janeiro,Brazil,Male,University College,London,United Kingdom,10/2/1987,London,United Kingdom,yes
343,1960,Physics,The Nobel Prize in Physics 1960,"""for the invention of the bubble chamber""",1-Jan,74,Individual,Donald Arthur Glaser,9/21/1926,"Cleveland, OH",United States of America,Male,University of California,"Berkeley, CA",United States of America,2/28/2013,"Berkeley, CA",United States of America,no
344,1961,Chemistry,The Nobel Prize in Chemistry 1961,"""for his research on the carbon dioxide assimilation in plants""",1-Jan,225,Individual,Melvin Calvin,4/8/1911,"St. Paul, MN",United States of America,Male,University of California,"Berkeley, CA",United States of America,1/8/1997,"Berkeley, CA",United States of America,no
346,1961,Medicine,The Nobel Prize in Physiology or Medicine 1961,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",1-Jan,371,Individual,Georg von Békésy,1899-06-03,Budapest,Hungary,Male,Harvard University,"Cambridge, MA",United States of America,6/13/1972,"Honolulu, HI",United States of America,yes
348,1961,Physics,The Nobel Prize in Physics 1961,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",2-Jan,75,Individual,Robert Hofstadter,2/5/1915,"New York, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,11/17/1990,"Stanford, CA",United States of America,no
349,1961,Physics,The Nobel Prize in Physics 1961,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",2-Jan,76,Individual,Rudolf Ludwig Mössbauer,1/31/1929,Munich,Germany,Male,Technical University,Munich,Federal Republic of Germany,9/14/2011,,,yes
350,1961,Physics,The Nobel Prize in Physics 1961,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",2-Jan,76,Individual,Rudolf Ludwig Mössbauer,1/31/1929,Munich,Germany,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,9/14/2011,,,yes
351,1962,Chemistry,The Nobel Prize in Chemistry 1962,"""for their studies of the structures of globular proteins""",2-Jan,226,Individual,Max Ferdinand Perutz,5/19/1914,Vienna,Austria,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2/6/2002,Cambridge,United Kingdom,yes
352,1962,Chemistry,The Nobel Prize in Chemistry 1962,"""for their studies of the structures of globular proteins""",2-Jan,227,Individual,John Cowdery Kendrew,3/24/1917,Oxford,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,8/23/1997,Cambridge,United Kingdom,no
354,1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",3-Jan,372,Individual,Francis Harry Compton Crick,6/8/1916,Northampton,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,7/28/2004,"San Diego, CA",United States of America,no
355,1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",3-Jan,373,Individual,James Dewey Watson,4/6/1928,"Chicago, IL",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,,,,no
356,1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",3-Jan,374,Individual,Maurice Hugh Frederick Wilkins,12/15/1916,Pongaroa,New Zealand,Male,London University,London,United Kingdom,10/5/2004,London,United Kingdom,yes
357,1962,Peace,The Nobel Peace Prize 1962,,1-Jan,217,Individual,Linus Carl Pauling,2/28/1901,"Portland, OR",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,8/19/1994,"Big Sur, CA",United States of America,no
358,1962,Physics,The Nobel Prize in Physics 1962,"""for his pioneering theories for condensed matter, especially liquid helium""",1-Jan,77,Individual,Lev Davidovich Landau,1/22/1908,Baku,Russian Empire (Azerbaijan),Male,Academy of Sciences,Moscow,Union of Soviet Socialist Republics,4/1/1968,Moscow,Union of Soviet Socialist Republics (Russia),yes
359,1963,Chemistry,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers""",2-Jan,228,Individual,Karl Ziegler,1898-11-26,Helsa,Germany,Male,Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Federal Republic of Germany,8/12/1973,Mülheim,West Germany (Germany),yes
360,1963,Chemistry,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers""",2-Jan,229,Individual,Giulio Natta,2/26/1903,Imperia,Italy,Male,Institute of Technology,Milan,Italy,5/2/1979,Bergamo,Italy,no
362,1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",3-Jan,375,Individual,Sir John Carew Eccles,1/27/1903,Melbourne,Australia,Male,Australian National University,Canberra,Australia,5/2/1997,Contra,Switzerland,no
363,1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",3-Jan,376,Individual,Alan Lloyd Hodgkin,2/5/1914,Banbury,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,12/20/1998,Cambridge,United Kingdom,no
364,1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",3-Jan,377,Individual,Andrew Fielding Huxley,11/22/1917,Hampstead,United Kingdom,Male,University College,London,United Kingdom,5/30/2012,Grantchester,United Kingdom,no
367,1963,Physics,The Nobel Prize in Physics 1963,"""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles""",2-Jan,78,Individual,Eugene Paul Wigner,11/17/1902,Budapest,Austria-Hungary (Hungary),Male,Princeton University,"Princeton, NJ",United States of America,1/1/1995,"Princeton, NJ",United States of America,yes
368,1963,Physics,The Nobel Prize in Physics 1963,"""for their discoveries concerning nuclear shell structure""",4-Jan,79,Individual,Maria Goeppert Mayer,6/28/1906,Kattowitz (Katowice),Germany (Poland),Female,University of California,"San Diego, CA",United States of America,2/20/1972,"San Diego, CA",United States of America,yes
369,1963,Physics,The Nobel Prize in Physics 1963,"""for their discoveries concerning nuclear shell structure""",4-Jan,80,Individual,J. Hans D. Jensen,6/25/1907,Hamburg,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,2/11/1973,Heidelberg,West Germany (Germany),yes
370,1964,Chemistry,The Nobel Prize in Chemistry 1964,"""for her determinations by X-ray techniques of the structures of important biochemical substances""",1-Jan,230,Individual,Dorothy Crowfoot Hodgkin,5/12/1910,Cairo,Egypt,Female,"University of Oxford, Royal Society",Oxford,United Kingdom,7/29/1994,Shipston-on-Stour,United Kingdom,yes
372,1964,Medicine,The Nobel Prize in Physiology or Medicine 1964,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",2-Jan,378,Individual,Konrad Bloch,1/21/1912,Neisse (Nysa),Germany (Poland),Male,Harvard University,"Cambridge, MA",United States of America,10/15/2000,"Burlington, MA",United States of America,yes
373,1964,Medicine,The Nobel Prize in Physiology or Medicine 1964,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",2-Jan,379,Individual,Feodor Lynen,4/6/1911,Munich,Germany,Male,Max-Planck-Institut für Zellchemie,Munich,Federal Republic of Germany,8/6/1979,Munich,Germany,yes
375,1964,Physics,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",2-Jan,81,Individual,Charles Hard Townes,7/28/1915,"Greenville, SC",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,1/27/2015,"Berkeley, CA",United States of America,no
376,1964,Physics,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",4-Jan,82,Individual,Nicolay Gennadiyevich Basov,12/14/1922,Usman,Union of Soviet Socialist Republics (Russia),Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,7/1/2001,Moscow,Russia,yes
377,1964,Physics,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",4-Jan,83,Individual,Aleksandr Mikhailovich Prokhorov,7/11/1916,Atherton,Australia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,1/8/2002,Moscow,Russia,yes
378,1965,Chemistry,The Nobel Prize in Chemistry 1965,"""for his outstanding achievements in the art of organic synthesis""",1-Jan,231,Individual,Robert Burns Woodward,4/10/1917,"Boston, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,7/8/1979,"Cambridge, MA",United States of America,no
380,1965,Medicine,The Nobel Prize in Physiology or Medicine 1965,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",3-Jan,380,Individual,François Jacob,6/17/1920,Nancy,France,Male,Institut Pasteur,Paris,France,4/19/2013,Paris,France,no
381,1965,Medicine,The Nobel Prize in Physiology or Medicine 1965,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",3-Jan,381,Individual,André Lwoff,5/8/1902,Ainay-le-Château,France,Male,Institut Pasteur,Paris,France,9/30/1994,Paris,France,no
382,1965,Medicine,The Nobel Prize in Physiology or Medicine 1965,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",3-Jan,382,Individual,Jacques Monod,2/9/1910,Paris,France,Male,Institut Pasteur,Paris,France,5/31/1976,Cannes,France,no
384,1965,Physics,The Nobel Prize in Physics 1965,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",3-Jan,84,Individual,Sin-Itiro Tomonaga,3/31/1906,Kyoto,Japan,Male,Tokyo University of Education,Tokyo,Japan,7/8/1979,Tokyo,Japan,no
385,1965,Physics,The Nobel Prize in Physics 1965,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",3-Jan,85,Individual,Julian Schwinger,2/12/1918,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,7/16/1994,"Los Angeles, CA",United States of America,no
386,1965,Physics,The Nobel Prize in Physics 1965,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",3-Jan,86,Individual,Richard P. Feynman,5/11/1918,"New York, NY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,2/15/1988,"Los Angeles, CA",United States of America,no
387,1966,Chemistry,The Nobel Prize in Chemistry 1966,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",1-Jan,232,Individual,Robert S. Mulliken,1896-06-07,"Newburyport, MA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,10/31/1986,"Arlington, VA",United States of America,no
390,1966,Medicine,The Nobel Prize in Physiology or Medicine 1966,"""for his discovery of tumour-inducing viruses""",2-Jan,383,Individual,Peyton Rous,1879-10-05,"Baltimore, MD",United States of America,Male,Rockefeller University,"New York, NY",United States of America,2/16/1972,"New York, NY",United States of America,no
391,1966,Medicine,The Nobel Prize in Physiology or Medicine 1966,"""for his discoveries concerning hormonal treatment of prostatic cancer""",2-Jan,384,Individual,Charles Brenton Huggins,9/22/1901,Halifax,Canada,Male,"University of Chicago, Ben May Laboratory for Cancer Research","Chicago, IL",United States of America,1/12/1997,"Chicago, IL",United States of America,yes
392,1966,Physics,The Nobel Prize in Physics 1966,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",1-Jan,87,Individual,Alfred Kastler,5/3/1902,Guebwiller,Germany (France),Male,École Normale Supérieure,Paris,France,1/7/1984,Bandol,France,yes
393,1967,Chemistry,The Nobel Prize in Chemistry 1967,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",2-Jan,233,Individual,Manfred Eigen,5/9/1927,Bochum,Germany,Male,Max-Planck-Institut für Physikalische Chemie,Göttingen,Federal Republic of Germany,,,,yes
394,1967,Chemistry,The Nobel Prize in Chemistry 1967,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",4-Jan,234,Individual,Ronald George Wreyford Norrish,1897-11-09,Cambridge,United Kingdom,Male,Institute of Physical Chemistry,Cambridge,United Kingdom,6/7/1978,Cambridge,United Kingdom,no
395,1967,Chemistry,The Nobel Prize in Chemistry 1967,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",4-Jan,235,Individual,George Porter,12/6/1920,Stainforth,United Kingdom,Male,Royal Institution of Great Britain,London,United Kingdom,8/31/2002,Canterbury,United Kingdom,no
397,1967,Medicine,The Nobel Prize in Physiology or Medicine 1967,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",3-Jan,385,Individual,Ragnar Granit,10/30/1900,Helsinki,Russian Empire (Finland),Male,Karolinska Institutet,Stockholm,Sweden,3/12/1991,Stockholm,Sweden,yes
398,1967,Medicine,The Nobel Prize in Physiology or Medicine 1967,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",3-Jan,386,Individual,Haldan Keffer Hartline,12/22/1903,"Bloomsburg, PA",United States of America,Male,Rockefeller University,"New York, NY",United States of America,3/17/1983,"Fallston, MD",United States of America,no
399,1967,Medicine,The Nobel Prize in Physiology or Medicine 1967,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",3-Jan,387,Individual,George Wald,11/18/1906,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,4/12/1997,"Cambridge, MA",United States of America,no
400,1967,Physics,The Nobel Prize in Physics 1967,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars""",1-Jan,88,Individual,Hans Albrecht Bethe,7/2/1906,Strassburg (Strasbourg),Germany (France),Male,Cornell University,"Ithaca, NY",United States of America,3/6/2005,"Ithaca, NY",United States of America,yes
401,1968,Chemistry,The Nobel Prize in Chemistry 1968,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes""",1-Jan,236,Individual,Lars Onsager,11/27/1903,Kristiania (Oslo),Norway,Male,Yale University,"New Haven, CT",United States of America,10/5/1976,"Coral Gables, FL",United States of America,yes
