Year,Category,Prize,Motivation,Prize Share,Laureate ID,Laureate Type,Full Name,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",2-Jan,348,Individual,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Avanca,Portugal,Male,University of Lisbon,Lisbon,Portugal,12/13/1955,Lisbon,Portugal
1949,Medicine,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",2-Jan,348,Individual,Antonio Caetano de Abreu Freire Egas Moniz,1874-11-29,Avanca,Portugal,Male,Neurological Institute,Lisbon,Portugal,12/13/1955,Lisbon,Portugal
1949,Peace,The Nobel Peace Prize 1949,,1-Jan,510,Individual,Lord (John) Boyd Orr of Brechin,1880-09-23,Kilmaurs,Scotland,Male,,,,6/25/1971,Edzell,Scotland
1949,Physics,The Nobel Prize in Physics 1949,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",1-Jan,54,Individual,Hideki Yukawa,1/23/1907,Tokyo,Japan,Male,Kyoto Imperial University,Kyoto,Japan,9/8/1981,Kyoto,Japan
1949,Physics,The Nobel Prize in Physics 1949,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",1-Jan,54,Individual,Hideki Yukawa,1/23/1907,Tokyo,Japan,Male,Columbia University,"New York, NY",United States of America,9/8/1981,Kyoto,Japan
1950,Chemistry,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",2-Jan,210,Individual,Otto Paul Hermann Diels,1876-01-23,Hamburg,Germany,Male,Kiel University,Kiel,Federal Republic of Germany,3/7/1954,Kiel,West Germany (Germany)
1950,Chemistry,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",2-Jan,211,Individual,Kurt Alder,7/10/1902,Königshütte (Chorzów),Prussia (Poland),Male,Cologne University,Cologne,Federal Republic of Germany,6/20/1958,Cologne,West Germany (Germany)
1950,Literature,The Nobel Prize in Literature 1950,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",1-Jan,621,Individual,Earl (Bertrand Arthur William) Russell,1872-05-18,Trelleck,United Kingdom,Male,,,,2/2/1970,Penrhyndeudraeth,United Kingdom
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",3-Jan,349,Individual,Edward Calvin Kendall,1886-03-08,"South Norwalk, CT",United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,5/4/1972,"Princeton, NJ",United States of America
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",3-Jan,350,Individual,Tadeus Reichstein,1897-07-20,Wloclawek,Poland,Male,Basel University,Basel,Switzerland,8/1/1996,Basel,Switzerland
1950,Medicine,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",3-Jan,351,Individual,Philip Showalter Hench,1896-02-28,"Pittsburgh, PA",United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,3/30/1965,Ocho Rios,Jamaica
1950,Peace,The Nobel Peace Prize 1950,,1-Jan,511,Individual,Ralph Bunche,8/7/1904,"Detroit, MI",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,12/9/1971,"New York, NY",United States of America
1950,Physics,The Nobel Prize in Physics 1950,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",1-Jan,55,Individual,Cecil Frank Powell,12/5/1903,Tonbridge,United Kingdom,Male,Bristol University,Bristol,United Kingdom,8/9/1969,,Italy
1951,Chemistry,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",2-Jan,212,Individual,Edwin Mattison McMillan,9/18/1907,"Redondo Beach, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America,9/7/1991,"El Cerrito, CA",United States of America
1951,Chemistry,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",2-Jan,213,Individual,Glenn Theodore Seaborg,4/19/1912,"Ishpeming, MI",United States of America,Male,University of California,"Berkeley, CA",United States of America,2/25/1999,"Lafayette, CA",United States of America
1951,Literature,The Nobel Prize in Literature 1951,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",1-Jan,622,Individual,Pär Fabian Lagerkvist,1891-05-23,Växjö,Sweden,Male,,,,7/11/1974,Stockholm,Sweden
1951,Medicine,The Nobel Prize in Physiology or Medicine 1951,"""for his discoveries concerning yellow fever and how to combat it""",1-Jan,352,Individual,Max Theiler,1899-01-30,Pretoria,South Africa,Male,"Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation","New York, NY",United States of America,8/11/1972,"New Haven, CT",United States of America
1951,Peace,The Nobel Peace Prize 1951,,1-Jan,512,Individual,Léon Jouhaux,1879-07-01,Paris,France,Male,,,,4/28/1954,Paris,France
1951,Physics,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",2-Jan,56,Individual,Sir John Douglas Cockcroft,1897-05-27,Todmorden,United Kingdom,Male,Atomic Energy Research Establishment,"Harwell, Berkshire",United Kingdom,9/18/1967,Cambridge,United Kingdom
1951,Physics,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",2-Jan,57,Individual,Ernest Thomas Sinton Walton,10/6/1903,Dungarvan,Ireland,Male,Trinity College,Dublin,Ireland,6/25/1995,Belfast,Northern Ireland
1952,Chemistry,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",2-Jan,214,Individual,Archer John Porter Martin,3/1/1910,London,United Kingdom,Male,National Institute for Medical Research,London,United Kingdom,7/28/2002,Llangarron,United Kingdom
1952,Chemistry,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",2-Jan,215,Individual,Richard Laurence Millington Synge,10/28/1914,Liverpool,United Kingdom,Male,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,8/18/1994,Norwich,United Kingdom
1952,Literature,The Nobel Prize in Literature 1952,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",1-Jan,623,Individual,François Mauriac,1885-10-11,Bordeaux,France,Male,,,,9/1/1970,Paris,France
1952,Medicine,The Nobel Prize in Physiology or Medicine 1952,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis""",1-Jan,353,Individual,Selman Abraham Waksman,1888-07-22,Priluka (Nova Pryluka),Russian Empire (Ukraine),Male,Rutgers University,"New Brunswick, NJ",United States of America,8/16/1973,"Hyannis, MA",United States of America
1952,Peace,The Nobel Peace Prize 1952,,1-Jan,513,Individual,Albert Schweitzer,1875-01-14,Kaysersberg,Germany (France),Male,,,,9/4/1965,Lambaréné,Gabon
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",2-Jan,58,Individual,Felix Bloch,10/23/1905,Zurich,Switzerland,Male,Stanford University,"Stanford, CA",United States of America,9/10/1983,Zurich,Switzerland
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",2-Jan,59,Individual,Edward Mills Purcell,8/30/1912,"Taylorville, IL",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,3/7/1997,"Cambridge, MA",United States of America
1953,Chemistry,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry""",1-Jan,216,Individual,Hermann Staudinger,1881-03-23,Worms,Germany,Male,University of Freiburg,Breisgau,Federal Republic of Germany,9/8/1965,Freiburg im Breisgau,West Germany (Germany)
1953,Chemistry,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry""",1-Jan,216,Individual,Hermann Staudinger,1881-03-23,Worms,Germany,Male,"Staatliches Institut für makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg",Breisgau,Federal Republic of Germany,9/8/1965,Freiburg im Breisgau,West Germany (Germany)
1953,Literature,The Nobel Prize in Literature 1953,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",1-Jan,624,Individual,Sir Winston Leonard Spencer Churchill,1874-11-30,Woodstock,United Kingdom,Male,,,,1/24/1965,London,United Kingdom
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of the citric acid cycle""",2-Jan,354,Individual,Hans Adolf Krebs,8/25/1900,Hildesheim,Germany,Male,Sheffield University,Sheffield,United Kingdom,11/22/1981,Oxford,United Kingdom
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",2-Jan,355,Individual,Fritz Albert Lipmann,1899-06-12,Koenigsberg (Kaliningrad),Germany (Russia),Male,Harvard Medical School,"Boston, MA",United States of America,7/24/1986,"Poughkeepsie, NY",United States of America
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",2-Jan,355,Individual,Fritz Albert Lipmann,1899-06-12,Koenigsberg (Kaliningrad),Germany (Russia),Male,Massachusetts General Hospital,"Boston, MA",United States of America,7/24/1986,"Poughkeepsie, NY",United States of America
1953,Peace,The Nobel Peace Prize 1953,,1-Jan,514,Individual,George Catlett Marshall,1880-12-31,"Uniontown, PA",United States of America,Male,,,,10/16/1959,"Washington, DC",United States of America
1953,Physics,The Nobel Prize in Physics 1953,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",1-Jan,60,Individual,Frits Zernike,1888-07-16,Amsterdam,Netherlands,Male,Groningen University,Groningen,Netherlands,3/10/1966,Groningen,Netherlands
1954,Chemistry,The Nobel Prize in Chemistry 1954,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",1-Jan,217,Individual,Linus Carl Pauling,2/28/1901,"Portland, OR",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,8/19/1994,"Big Sur, CA",United States of America
1954,Literature,The Nobel Prize in Literature 1954,"""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style""",1-Jan,625,Individual,Ernest Miller Hemingway,1899-07-21,"Oak Park, IL",United States of America,Male,,,,7/2/1961,"Ketchum, ID",United States of America
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",3-Jan,356,Individual,John Franklin Enders,1897-02-10,"West Hartford, CT",United States of America,Male,Harvard Medical School,"Boston, MA",United States of America,9/8/1985,"Waterford, CT",United States of America
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",3-Jan,356,Individual,John Franklin Enders,1897-02-10,"West Hartford, CT",United States of America,Male,"Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",United States of America,9/8/1985,"Waterford, CT",United States of America
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",3-Jan,357,Individual,Thomas Huckle Weller,6/15/1915,"Ann Arbor, MI",United States of America,Male,"Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",United States of America,8/23/2008,"Needham, MA",United States of America
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",3-Jan,358,Individual,Frederick Chapman Robbins,8/25/1916,"Auburn, AL",United States of America,Male,Western Reserve University,"Cleveland, OH",United States of America,8/4/2003,"Cleveland, OH",United States of America
1954,Peace,The Nobel Peace Prize 1954,,1-Jan,515,Organization,Office of the United Nations High Commissioner for Refugees (UNHCR),,,,,,,,,,
1954,Physics,The Nobel Prize in Physics 1954,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",2-Jan,61,Individual,Max Born,1882-12-11,Breslau (Wroclaw),Germany (Poland),Male,Edinburgh University,Edinburgh,United Kingdom,1/5/1970,Göttingen,West Germany (Germany)
1954,Physics,The Nobel Prize in Physics 1954,"""for the coincidence method and his discoveries made therewith""",2-Jan,62,Individual,Walther Bothe,1891-01-08,Oranienburg,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,2/8/1957,Heidelberg,West Germany (Germany)
1954,Physics,The Nobel Prize in Physics 1954,"""for the coincidence method and his discoveries made therewith""",2-Jan,62,Individual,Walther Bothe,1891-01-08,Oranienburg,Germany,Male,Max-Planck-Institut für medizinische Forschung,Heidelberg,Federal Republic of Germany,2/8/1957,Heidelberg,West Germany (Germany)
1955,Chemistry,The Nobel Prize in Chemistry 1955,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""",1-Jan,218,Individual,Vincent du Vigneaud,5/18/1901,"Chicago, IL",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,12/11/1978,"White Plains, NY",United States of America
1955,Literature,The Nobel Prize in Literature 1955,"""for his vivid epic power which has renewed the great narrative art of Iceland""",1-Jan,626,Individual,Halldór Kiljan Laxness,4/23/1902,Reykjavik,Iceland,Male,,,,2/8/1998,Reykjavik,Iceland
1955,Medicine,The Nobel Prize in Physiology or Medicine 1955,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""",1-Jan,359,Individual,Axel Hugo Theodor Theorell,7/6/1903,Linköping,Sweden,Male,"Karolinska Institutet, Nobel Medical Institute",Stockholm,Sweden,8/15/1982,Stockholm,Sweden
1955,Physics,The Nobel Prize in Physics 1955,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",2-Jan,63,Individual,Willis Eugene Lamb,7/12/1913,"Los Angeles, CA",United States of America,Male,Stanford University,"Stanford, CA",United States of America,5/15/2008,"Tucson, AZ",United States of America
1955,Physics,The Nobel Prize in Physics 1955,"""for his precision determination of the magnetic moment of the electron""",2-Jan,64,Individual,Polykarp Kusch,1/26/1911,Blankenburg,Germany,Male,Columbia University,"New York, NY",United States of America,3/20/1993,"Dallas, TX",United States of America
1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",2-Jan,219,Individual,Sir Cyril Norman Hinshelwood,1897-05-19,London,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,10/9/1967,London,United Kingdom
1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",2-Jan,220,Individual,Nikolay Nikolaevich Semenov,1896-04-03,Saratov,Russia,Male,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,Union of Soviet Socialist Republics,9/25/1986,Moscow,Union of Soviet Socialist Republics
1956,Literature,The Nobel Prize in Literature 1956,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""",1-Jan,627,Individual,Juan Ramón Jiménez,1881-12-24,Moguer,Spain,Male,,,,5/29/1958,San Juan,Puerto Rico
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",3-Jan,360,Individual,André Frédéric Cournand,1895-09-24,Paris,France,Male,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",United States of America,2/19/1988,"Great Barrington, MA",United States of America
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",3-Jan,361,Individual,Werner Forssmann,8/29/1904,Berlin,Germany,Male,Mainz University,Mainz,Federal Republic of Germany,6/1/1979,Schopfheim,West Germany (Germany)
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",3-Jan,361,Individual,Werner Forssmann,8/29/1904,Berlin,Germany,Male,,Bad Kreuznach,Federal Republic of Germany,6/1/1979,Schopfheim,West Germany (Germany)
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",3-Jan,362,Individual,Dickinson W. Richards,1895-10-30,"Orange, NJ",United States of America,Male,Columbia University,"New York, NY",United States of America,2/23/1973,"Lakeville, CT",United States of America
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",3-Jan,65,Individual,William Bradford Shockley,2/13/1910,London,United Kingdom,Male,"Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",United States of America,8/12/1989,"Palo Alto, CA",United States of America
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",3-Jan,66,Individual,John Bardeen,5/23/1908,"Madison, WI",United States of America,Male,University of Illinois,"Urbana, IL",United States of America,1/30/1991,"Boston, MA",United States of America
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",3-Jan,67,Individual,Walter Houser Brattain,2/10/1902,Amoy,China,Male,Bell Telephone Laboratories,"Murray Hill, NJ",United States of America,10/13/1987,"Seattle, WA",United States of America
1957,Chemistry,The Nobel Prize in Chemistry 1957,"""for his work on nucleotides and nucleotide co-enzymes""",1-Jan,221,Individual,Lord (Alexander R.) Todd,10/2/1907,Glasgow,Scotland,Male,University of Cambridge,Cambridge,United Kingdom,1/10/1997,Cambridge,United Kingdom
1957,Literature,The Nobel Prize in Literature 1957,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",1-Jan,628,Individual,Albert Camus,11/7/1913,Mondovi,French Algeria (Algeria),Male,,,,1/4/1960,Sens,France
1957,Medicine,The Nobel Prize in Physiology or Medicine 1957,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles""",1-Jan,363,Individual,Daniel Bovet,3/23/1907,Neuchâtel,Switzerland,Male,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,4/8/1992,Rome,Italy
1957,Peace,The Nobel Peace Prize 1957,,1-Jan,516,Individual,Lester Bowles Pearson,1897-04-23,Toronto,Canada,Male,,,,12/27/1972,Ottawa,Canada
1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",2-Jan,68,Individual,Chen Ning Yang,9/22/1922,"Hofei, Anhwei",China,Male,Institute for Advanced Study,"Princeton, NJ",United States of America,,,
1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",2-Jan,69,Individual,Tsung-Dao (T.D.) Lee,11/24/1926,Shanghai,China,Male,Columbia University,"New York, NY",United States of America,,,
1958,Chemistry,The Nobel Prize in Chemistry 1958,"""for his work on the structure of proteins, especially that of insulin""",1-Jan,222,Individual,Frederick Sanger,8/13/1918,Rendcombe,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,11/19/2013,Cambridge,United Kingdom
1958,Literature,The Nobel Prize in Literature 1958,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",1-Jan,629,Individual,Boris Leonidovich Pasternak,1890-02-10,Moscow,Russia,Male,,,,5/30/1960,Peredelkino,Russia
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",4-Jan,364,Individual,George Wells Beadle,10/22/1903,"Wahoo, NE",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,6/9/1989,"Pomona, CA",United States of America
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",4-Jan,365,Individual,Edward Lawrie Tatum,12/14/1909,"Boulder, CO",United States of America,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,11/5/1975,"New York, NY",United States of America
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",2-Jan,366,Individual,Joshua Lederberg,5/23/1925,"Montclair, NJ",United States of America,Male,University of Wisconsin,"Madison, WI",United States of America,2/2/2008,"New York, NY",United States of America
1958,Peace,The Nobel Peace Prize 1958,,1-Jan,517,Individual,Georges Pire,2/10/1910,Dinant,Belgium,Male,,,,1/30/1969,Leuven,Belgium
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",3-Jan,70,Individual,Pavel Alekseyevich Cherenkov,7/28/1904,Novaya Chigla,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,1/6/1990,,Union of Soviet Socialist Republics
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",3-Jan,71,Individual,Igor Yevgenyevich Tamm,1895-07-08,Vladivostok,Russia,Male,University of Moscow,Moscow,Union of Soviet Socialist Republics,4/12/1971,Moscow,Union of Soviet Socialist Republics (Russia)
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",3-Jan,71,Individual,Igor Yevgenyevich Tamm,1895-07-08,Vladivostok,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,4/12/1971,Moscow,Union of Soviet Socialist Republics (Russia)
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",3-Jan,721,Individual,Il´ja Mikhailovich Frank,10/23/1908,Leningrad (Saint Petersburg),Russia,Male,University of Moscow,Moscow,Union of Soviet Socialist Republics,6/22/1990,Moscow,Union of Soviet Socialist Republics (Russia)
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",3-Jan,721,Individual,Il´ja Mikhailovich Frank,10/23/1908,Leningrad (Saint Petersburg),Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,6/22/1990,Moscow,Union of Soviet Socialist Republics (Russia)
1959,Chemistry,The Nobel Prize in Chemistry 1959,"""for his discovery and development of the polarographic methods of analysis""",1-Jan,223,Individual,Jaroslav Heyrovsky,1890-12-20,Prague,Austria-Hungary (Czech Republic),Male,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia,3/27/1967,Prague,Czechoslovakia
1959,Literature,The Nobel Prize in Literature 1959,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""",1-Jan,630,Individual,Salvatore Quasimodo,8/20/1901,Modica,Italy,Male,,,,6/14/1968,Naples,Italy
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",2-Jan,367,Individual,Severo Ochoa,9/24/1905,Luarca,Spain,Male,"New York University, College of Medicine","New York, NY",United States of America,11/1/1993,Madrid,Spain
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",2-Jan,368,Individual,Arthur Kornberg,3/3/1918,"Brooklyn, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,10/26/2007,"Stanford, CA",United States of America
1959,Peace,The Nobel Peace Prize 1959,,1-Jan,518,Individual,Philip J. Noel-Baker,1889-11-01,London,United Kingdom,Male,,,,10/8/1982,London,United Kingdom
1959,Physics,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",2-Jan,72,Individual,Emilio Gino Segrè,2/1/1905,Tivoli,Italy,Male,University of California,"Berkeley, CA",United States of America,4/22/1989,"Lafayette, CA",United States of America
1959,Physics,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",2-Jan,73,Individual,Owen Chamberlain,7/10/1920,"San Francisco, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America,2/28/2006,"Berkeley, CA",United States of America
1960,Chemistry,The Nobel Prize in Chemistry 1960,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science""",1-Jan,224,Individual,Willard Frank Libby,12/17/1908,"Grand Valley, CO",United States of America,Male,University of California,"Los Angeles, CA",United States of America,9/8/1980,"Los Angeles, CA",United States of America
1960,Literature,The Nobel Prize in Literature 1960,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",1-Jan,631,Individual,Saint-John Perse,1887-05-31,Pointe-à-Pitre,Guadeloupe Island,Male,,,,9/20/1975,Presqu'île-de-Giens,France
1960,Medicine,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance""",2-Jan,369,Individual,Sir Frank Macfarlane Burnet,1899-09-03,Traralgon,Australia,Male,Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia,8/31/1985,Melbourne,Australia
1960,Medicine,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance""",2-Jan,370,Individual,Peter Brian Medawar,2/28/1915,Rio de Janeiro,Brazil,Male,University College,London,United Kingdom,10/2/1987,London,United Kingdom
1960,Peace,The Nobel Peace Prize 1960,,1-Jan,519,Individual,Albert John Lutuli,1898-00-00,Bulawayo,Southern Rhodesia (Zimbabwe),Male,,,,7/21/1967,Stanger,South Africa
1960,Physics,The Nobel Prize in Physics 1960,"""for the invention of the bubble chamber""",1-Jan,74,Individual,Donald Arthur Glaser,9/21/1926,"Cleveland, OH",United States of America,Male,University of California,"Berkeley, CA",United States of America,2/28/2013,"Berkeley, CA",United States of America
1961,Chemistry,The Nobel Prize in Chemistry 1961,"""for his research on the carbon dioxide assimilation in plants""",1-Jan,225,Individual,Melvin Calvin,4/8/1911,"St. Paul, MN",United States of America,Male,University of California,"Berkeley, CA",United States of America,1/8/1997,"Berkeley, CA",United States of America
1961,Literature,The Nobel Prize in Literature 1961,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",1-Jan,633,Individual,Ivo Andric,1892-10-10,Dolac,Bosnia (Bosnia and Herzegovina),Male,,,,3/13/1975,Belgrade,Yugoslavia (Serbia)
1961,Medicine,The Nobel Prize in Physiology or Medicine 1961,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",1-Jan,371,Individual,Georg von Békésy,1899-06-03,Budapest,Hungary,Male,Harvard University,"Cambridge, MA",United States of America,6/13/1972,"Honolulu, HI",United States of America
1961,Peace,The Nobel Peace Prize 1961,,1-Jan,520,Individual,Dag Hjalmar Agne Carl Hammarskjöld,7/29/1905,Jönköping,Sweden,Male,,,,9/18/1961,Ndola,Northern Rhodesia (Zambia)
1961,Physics,The Nobel Prize in Physics 1961,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",2-Jan,75,Individual,Robert Hofstadter,2/5/1915,"New York, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,11/17/1990,"Stanford, CA",United States of America
1961,Physics,The Nobel Prize in Physics 1961,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",2-Jan,76,Individual,Rudolf Ludwig Mössbauer,1/31/1929,Munich,Germany,Male,Technical University,Munich,Federal Republic of Germany,9/14/2011,,
1961,Physics,The Nobel Prize in Physics 1961,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",2-Jan,76,Individual,Rudolf Ludwig Mössbauer,1/31/1929,Munich,Germany,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,9/14/2011,,
1962,Chemistry,The Nobel Prize in Chemistry 1962,"""for their studies of the structures of globular proteins""",2-Jan,226,Individual,Max Ferdinand Perutz,5/19/1914,Vienna,Austria,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2/6/2002,Cambridge,United Kingdom
